"title","author","description","url","article_text","date_published","date_modified","source"
"RITES Consolidated September 2022 Net Sales at Rs 659.08 crore, down 12.73% Y-o-Y","","","https://www.moneycontrol.com/news/business/earnings/rites-consolidated-september-2022-net-sales-at-rs-659-08-crore-down-12-73-y-o-y-9496201.html","","2022-11-11T11:51:17+05:30","2022-11-11T11:57:37+05:30",""
"India's stiffer foreign investment rules aimed at China to include Hong Kong","Reuters","","https://www.moneycontrol.com/news/business/economy/indias-stiffer-foreign-investment-rules-aimed-at-china-to-include-hong-kong-5168541.html","India's new rules to more closely scrutinise foreign investments from companies based in neighbouring countries will also apply to Hong Kong, two senior government sources told Reuters on Monday. India said on Saturday that foreign direct investments from countries with which it shares a land border would require prior government approval to deter ""opportunistic"" takeovers and acquisitions during the coronavirus outbreak, but it gave few other details. While the move was seen aimed at Chinese firms, it caused confusion among lawyers, investors and business executives on whether it would apply to Hong Kong, a special administrative region of China that enjoys a measure of autonomy under a ""one country, two systems"" policy agreed at the time of its 1997 handover from Britain. A substantial part of Chinese investments is routed through the Asian financial centre given its market expertise and deep pool of liquidity. India's industries ministry, which drafted the policy, did not immediately respond to an email seeking comment. Two Indian government officials told Reuters the policy will be interpreted in a broad manner and will not make any distinction between China and Hong Kong investments, saying inflows from both will be scrutinized in the same manner. ""It's common sense how Hong Kong investment should be taken. Investment from there is no different to China,"" said one of the officials. The officials have been involved in the framing of India's investment policies. Indian government data showed that between April 2000 and December 2019, foreign direct investments from China stood at $2.3 billion and $4.2 billion from Hong Kong. A February report by research group Gateway House said overall Chinese foreign direct investment into India stood at $6.2 billion. Some experts believe the total investment coming through Chinese entities is far higher as it is routed through multiple jurisdictions. The new rules govern entities located in a country that share a land border with India and will be applicable even if the ""beneficial owner"" of an investment is from those nations. Such investments will require a government approval, the rules said, meaning they can't go through a so-called automatic route. The rules did not name China or Hong Kong. India has land borders with China, Pakistan, Bangladesh, Myanmar, Nepal and Bhutan. Three government officials, including the first two, also clarified the new rules of scrutiny would apply to foreign direct investments in greenfield projects. ","2020-04-20T18:37:06+05:30","2020-04-20T18:52:34+05:30",""
"Healthy Invest Standalone December 2018 Net Sales at Rs 0.01 crore, down 74.78% Y-o-Y","","","https://www.moneycontrol.com/news/business/earnings/healthy-invest-standalone-december-2018-net-sales-at-rs-0-01-crore-down-74-78-y-o-y-3461801.html","","2019-01-31T13:14:20+05:30","2019-01-31T16:50:42+05:30",""
"Harshil Agro Standalone December 2025 Net Sales at Rs 7.25 crore, down 71.84% Y-o-Y","Broker Research","","https://www.moneycontrol.com/news/business/earnings/harshil-agro-standalone-december-2025-net-sales-at-rs-7-25-crore-down-71-84-y-o-y-13818642.html","","2026-02-09T11:11:57+05:30","2026-02-09T11:25:05+05:30",""
"DMart gains 2.5% after CLSA reiterates 'high conviction outperform' rating on stock, sees up to 61% upside","J Jagannath","India’s consumption outlook remains strong and DMart has a deeply moated business model, says CLSA","https://www.moneycontrol.com/news/business/markets/dmart-gains-2-5-after-clsa-reiterates-high-conviction-outperform-rating-on-stock-sees-up-to-61-upside-13727417.html","DMart-parent Avenue Supermarts shares rose 2.5% to Rs 3,913 apiece after global brokerage CLSA reiterated ""high conviction outperform"" rating on the stock. Avenue Supermarts is among CLSA's top picks in large-cap consumer space. The brokerage said expansion-led negative free cash flow is likely to reverse as store additions normalise, mirroring global peers Walmart, Costco, BIM. Early expansion years typically see negative free cash flow due to rapid store additions. As expansion normalises, free cash flow turns strongly positive, said CLSA. CLSA kept the stock's target price unchanged at Rs 6,300, which implies up to 61% upside, and sees strong long-term free cash flow potential. CLSA expects Avenue Supermarts' FY25-28 revenue CAGR of 15-20%, driven by 155-225 new store openings. CLSA forecasts FY28 EPS at Rs 30.2 vs Rs 16.9 in FY24 and PE multiple to ease from 227x to 127x. India’s consumption outlook remains strong and DMart has a deeply moated business model, said CLSA. So far in 2025, the stock rose 9.5%. Avenue Supermarts has reported a 15.43% rise in its standalone revenue from operations to Rs 16,218.79 crore for the second quarter ended September 30, 2025. The total number of stores as of September 2025 stood at 432. Promoted by Radhakishan Damani and his family, DMart retails basic home and personal products across markets, including Maharashtra, Gujarat, Andhra Pradesh, Madhya Pradesh, Karnataka, Telangana, Chhattisgarh, NCR, Tamil Nadu, Punjab and Rajasthan.","2025-12-16T10:59:53+05:30","2025-12-16T11:00:04+05:30",""
"Denis Chem Lab standalone Sep '15 sales at Rs 26.80 crore","","","https://www.moneycontrol.com/news/business/earnings/-1500411.html","","2015-10-28T10:30:31+05:30","2015-10-28T10:30:31+05:30",""
"Trade Spotlight | Your strategy to deal in Federal Bank, HDFC Bank, ABB India today","Sunil Shankar Matkar","HDFC Bank has decisively broken its downward sloping resistance trendline adjoining highs of July 3 and September 15, and formed bullish candlestick pattern with lower shadow on the daily scale.","https://www.moneycontrol.com/news/business/markets/trade-spotlight-your-strategy-to-deal-in-federal-bank-hdfc-bank-abb-india-today-11854561.html","With the market in an upbeat mood after a three-state victory of the BJP and a better-than-expected GDP data for Q2FY24, backed by favourable global cues, consistent funds flow from FIIs and DIIs, and continuation of higher highs, higher lows formation with strong volumes for a week now, experts expect the trend to remain in the favour of bulls which can take the Nifty50 towards 20,900-21,000 levels in coming days with immediate support at 20,600-20,500 levels. On November 4, the benchmark indices hit a historic high and recorded the biggest single-day gain in more than a year. The Nifty50 jumped 419 points or 2.07 percent to 20,687, and the BSE Sensex rallied 1,384 points or 2.05 percent to 68,865, while the Nifty Midcap 100 and Smallcap 100 indices 1.2 percent and 1.4 percent. Stocks that participated in Monday's bull run included Federal Bank, HDFC Bank, and ABB India. rose 3.6 percent to end at record closing high of Rs 154.05 and formed bullish candlestick pattern with long lower shadow on the daily charts, with above average volumes. The stock traded above all key moving averages (20, 50, 100 and 200-day EMA - exponential moving average), which is a positive sign. has decisively broken its downward sloping resistance trendline adjoining highs of July 3 and September 15, and formed bullish candlestick pattern with lower shadow on the daily scale. The stock opened above 200-day EMA and finally got back above all key moving averages. It climbed 3.5 percent to Rs 1,609 with above average volumes. has also seen a breakout of falling resistance trendline adjoining highs of September 11 and November 30, and formed strong bullish candlestick pattern on the daily charts with healthy volumes. The stock jumped 5.6 percent to end at record closing high of Rs 4,630.75 and traded above all key moving averages. In the previous session, the stock made a fresh new life time high. Prices are trading near the previous swing high, which was near Rs 155.20, as shown in the below chart. This stock may rise further if it closes above it. The 50-EMA (exponential moving average Rs 146) is acting as a excellent support line that has provided support at regular intervals. This implies that as long as this line is protected, one should be in the direction of the current ongoing trend, and any pullback towards it should be viewed as a buying opportunity. According to this, support is near Rs 146 levels. In short, overall trend for Federal Bank is positive. A close above Rs 155 is must for further bullish momentum to continue. While on the downside Rs 146 levels can act as a near term support. HDFC Bank has been rising over the past few days. HDFC Bank is following 53-day’s time cycle very well and we can clearly see that prices are forming low every time it approaches near to this cycle. Time Cycle helps to understand if the overall trend is going to reverse back on upside. As shown in below chart prices are bouncing back every 53 days. Recently prices made a low near our cycle which was near Rs 1,460-1,470. Following that, the stock reversed to the upside and is still in an uptrend. Prices closed above the previous day's high in the previous session, indicating a positive signal. Furthermore, prices have recently closed above the Ichimoku cloud. So, Time cycle, Indicators, and Price action are all in sync, indicating that the outlook for this stock is positive. In short, trend for this stock is positive. Use dips as a buying opportunity for a move towards Rs 1,650 levels as long as Rs 1,560 holds on the downside. ABB has been increasing continuously over the past few days. In the previous session, prices formed a large bullish candle on the daily chart. The price closed at Rs 4,630 levels. Breakout of the Rounding Bottom is still pending. Any close above Rs 4,680 will confirm the breakout of the rounding bottom pattern. The stock is trading above the ichimoku cloud which indicate that the short-term bias is bullish. In short, trend for this stock is positive. A break above Rs 4,680 can lift price higher towards Rs 4,900-4,950 as long as Rs 4,440 holds on the downside.","2023-12-05T06:15:57+05:30","2023-12-05T08:56:56+05:30",""
"Bodhtree Cons Standalone December 2020 Net Sales at Rs 33.03 crore, up 5.99% Y-o-Y","","","https://www.moneycontrol.com/news/business/earnings/bodhtree-cons-standalone-december-2020-net-sales-at-rs-33-03-crore-up-5-99-y-o-y-6514211.html","","2021-02-15T17:00:51+05:30","2021-02-15T17:19:22+05:30",""
"Matrimony Q3 PAT may dip 21.8% YoY to Rs. 7.8 cr: ICICI Securities","Broker Research","Net Sales are expected to decrease by 1 percent Y-o-Y (down 3.7 percent Q-o-Q) to Rs. 110.3 crore, according to ICICI Securities.","https://www.moneycontrol.com/news/business/earnings/matrimony-q3-pat-may-dip-21-8-yoy-to-rs-7-8-cr-icici-securities-13787547.html","ICICI Securities has come out with its third quarter (October-December’ 26) earnings estimates for the Internet sector. The brokerage house expects to report net profit at Rs. 7.8 crore down 21.8 % year-on-year (up 1.7 percent Q-o-Q). Net Sales are expected to decrease by 1 percent Y-o-Y (down 3.7 percent Q-o-Q) to Rs. 110.3 crore, according to ICICI Securities. Earnings before interest, tax, depreciation and amortisation (EBITDA) are likely to fall by 27.1 percent Y-o-Y (down 16.8 percent Q-o-Q) to Rs. 10 crore. : The views and investment tips expressed by investment experts on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. ","2026-01-23T12:30:50+05:30","2026-01-23T12:30:59+05:30",""
"Asian shares pinned at lows after Wall Street falls, NZ holds rates steady","Reuters","","https://www.moneycontrol.com/news/business/markets/asian-shares-pinned-at-lows-after-wall-street-falls-nz-holds-rates-steady-7353001.html","Asian shares held near year-to-date lows on Wednesday as overnight declines on Wall Street reinforced worries about the economic impact of the Delta coronavirus variant sweeping through the region. The dollar stayed strong against most peers, while New Zealand’s central bank held off on a widely expected decision to raise interest rates after the discovery of a Delta variant case sent the country into lockdown. The Reserve Bank of New Zealand would have been the first G10 central bank to begin hiking interest rates, but said the decision to hold was made in the context of the nationwide restrictions. MSCI’s broadest index of Asia-Pacific shares outside Japan was up 0.19%, having fallen for the past five sessions, and traded just above year-to-date lows touched in July. Chinese blue chips rose 0.21% and Japan’s Nikkei rose 0.35%. Taiwan stocks fell 1.09%. ”A narrative around the peaking of economic growth in the second or third quarter is really hitting home,” said Kerry Craig, global market strategist at JPMorgan Asset Management. ”Investors are trying balance the reopening of economies as vaccination rates go up, but also seeing the effects of the spreading Delta variant and that’s being reflected in the slowing economic data most of which has been surprising on the downside in the last two weeks,” Craig said. China on Monday reported year-on-year GDP growth of 7.9% in the second quarter, below the 8.1% forecast in a Reuters poll of economists. Overnight, Wall Street fell after retail sales came in below expectations and valuations become increasingly stretched. The S&P 500 lost 0.71% after posting a new record high on Monday. [.N] ”In today’s market we find its very difficult to find undervalued stocks to recommend to investors,” said Dave Sekera, chief U.S. market strategist at Morningstar Research Services. U.S. stock futures, the S&P 500 e-minis, were little changed in Asian hours, down 0.01%. In currency markets the dollar hit a nine-month high against the euro and held near recent peaks against other major currencies as COVID-19 concerns meant investors cut exposure to riskier currencies. Oil declined further in early Asian trading after falling for four sessions thanks to the stronger dollar and worries about the rise in coronavirus cases. U.S. crude dipped 0.14% to $66.50 a barrel. The yield on benchmark 10-year Treasury notes was 1.2617% compared to its U.S. close of 1.258% on Tuesday (Reporting by Alun John; editing by Richard Pullin)","2021-08-18T08:18:22+05:30","2021-08-18T08:17:51+05:30",""
"Nahar Poly Film Standalone September 2023 Net Sales at Rs 137.01 crore, down 28% Y-o-Y","","","https://www.moneycontrol.com/news/business/earnings/nahar-poly-film-standalone-september-2023-net-sales-at-rs-137-01-crore-down-28-y-o-y-11702511.html","","2023-11-09T08:22:15+05:30","2023-11-09T08:43:54+05:30",""
"Stern action against Chanda Kochhar a warning to India Inc, say corporate governance experts","Himadri Buch","","https://www.moneycontrol.com/news/business/companies/stern-action-against-chanda-kochhar-a-warning-to-india-inc-say-corporate-governance-experts-3461671.html","The stern action taken by against former managing director and chief executive Chanda Kochhar after an indictment from the Justice BN Srikrishna report, is a warning for other boards of the corporate world, believes JN Gupta, former SEBI Executive Director and Managing Director of Stakeholders Empowerment Services. “I feel in corporate India it is first of its case. A stern action has been taken. I always believe this act as a deterrent or warning to others that things shouldn't be taken lightly,” Gupta said. Justice Srikrishna committee that was tasked with probing the quid-pro-quo transactions in ICICI Bank, said Kochhar violated the bank's code of conduct. The panel suggested treating her separation from ICICI Bank as termination. Shareholder whistleblower Arvind Gupta was the first to raise concerns in October 2016 through a blog, alleging impropriety in loan-related decisions made by Chanda Kochhar. He also alleged quid pro quo in the approval of given to Videocon Group, whose promoter had business dealings with Kochhar's husband Deepak. Following the Justice BN Srikrishna panel report indicting Kochhar, the bank said it will retrieve bonuses she received since 2009. The board, following the receipt of the enquiry report, on January 31 decided to treat ""the separation of Kochhar from the bank as a 'termination for cause' under the bank's internal policies, schemes and the code of conduct, with all attendant consequences."" These include revocation of all her existing and future entitlements such as any unpaid amounts, unpaid bonuses or increments, unvested and vested and unexercised stock options, and medical benefits. According to a report in the , Kochhar owes the bank close to Rs 350 crore, of which Rs 343 crore is through employee stock options (ESOPs) since FY09, and almost Rs 10 crore is in form of cash bonuses. The Srikrishna panel found there was lack of certain disclosures and procedures were not followed. Blaming ICICI Bank board for giving a clean chit to Kochhar, Gupta said, “Now for knowing this one doesn't need a Justice, you can find out internally, that raises a question on the board of ICICI that gave a clean chit to Chanda Kochhar in almost no time when the issue came up. It means that the earlier board that gave the clean chit didn't apply its mind.” With Justice BN Srikrishna indicting Chanda Kochhar for lack of disclosures and not following procedures, Gupta sought the statutory bodies to act fast. “The inquiry done by Justice Srikrishna is limited in scope. Justice Srikrishna acted as a senior person available in the country who can do justice without statutory backing,” Gupta said. “He couldn't go deep into the issue by summoning people and accounts. He could not have examined any criminal aspects of the case,” he added. An investigation led by Srikrishna is in sharp contrast with the stance taken by the bank’s board when the allegations first came to light in March 2018. At the time, the board, led by then chairman MK Sharma, had backed Kochhar saying all due processes were followed. “How is it that MK Sharma, the earlier board chairman gave Chanda Kochhar a clean chit while this board chaired by GC Chaturvedi says she has violated the bank's code of conduct?” said Hemindra Hazari, an independent banking analyst. “I expect Kochhar to challenge her dismissal in court where more details of how the board concluded its decisions will be made public. It also shows how overpaid the top CEOs are in private sector banks,” he added. On January 24, CBI booked Kochhar on charges of criminal conspiracy, cheating and abuse of official position for ""dishonestly sanctioning loans to the Videocon Group"". (With inputs from M Saraswathy)","2019-01-31T13:32:45+05:30","2019-01-31T14:13:07+05:30",""
"Vodafone-BSNL 2G intra-circle roaming pact to tackle call drops","","","https://www.moneycontrol.com/news/business/companies/vodafone-bsnl-2g-intra-circle-roaming-pact-to-tackle-call-drops-965576.html","Private operator Vodafone and state-owned BSNL announced a 2G intra-circle roaming agreement (ICR) that is designed to benefit their customers and help reduce call drops. ""The agreement will enhance coverage for both Vodafone and BSNL customers. Next month, we will jointly provide seamless connectivity at the BRICS summit, which is to be held in Goa,"" BSNL CMD Anupam Shrivastava told PTI. The state-run firm, which regained its 5th position in terms of mobile subscribers in June, has nearly 1,14,000 sites across the country with a wide reach in rural areas. Shrivastava added: ""This partnership with Vodafone will help us make our network coverage better, especially in urban areas."" The availability of additional towers is expected to help both the companies address the coverage gap, thereby minimise chances of call drops. Vodafone India has over 1,37,000 mobile sites across the country. The agreement will allow Vodafone to expand its 2G network further, especially in rural areas, and strengthens BSNL's network reach in urban localities. ""We made significant investments to expand, enhance and upgrade our network, making Vodafone SuperNet our best network ever, world-class and future-fit. This partnership with BSNL will further strengthen the reach of our network, especially in the hinterland and surrounding rural areas,"" Vodafone India MD and CEO Sunil Sood said in a statement. Additionally, the agreement will support Vodafone's coverage plans in Tamil Nadu where it failed to win back 900 Mhz spectrum that it used for 2G services in the 2015 auction. Vodafone India, the fully-owned subsidiary of the UK's Vodafone Group, has operations across India serving over 199 million customers. Bharat Sanchar Nigam Ltd (BSNL) had a user base of 89.54 million at the end of June this year.","2016-09-12T08:08:08+05:30","2016-09-12T08:26:43+05:30",""
"Gold falls back towards $1,090 after jobless claims hit 40-year low","","","https://www.moneycontrol.com/news/business/markets/gold-falls-back-towards-361090-after-jobless-claims-hit-40-year-low-1497861.html","Investing.com - Investing.com - Gold prices re-approached five-year lows on Thursday, after data showed that the number of people who filed for unemployment assistance in the U.S. last week fell to the lowest level since November 1973, boosting optimism over the health of the economy and supporting the case for a U.S. interest rate hike this year. Gold futures for August delivery on the Comex division of the New York Mercantile Exchange traded at $1,095.40 a troy ounce during U.S. morning hours, up $4.10, or 0.38%. Prices hit an intraday peak of $1,104.50. A day earlier, gold fell to $1,085.60 before recovering mildly to close at $1,091.50, down $12.00, or 1.09%. Prices of the precious metal plunged to a five-year low of $1,080.00 on Monday. The Department of Labor said the number of individuals filing for initial jobless benefits fell by 26,000 last week to 255,000. Analysts had expected initial jobless claims to fall by 1,000 to 280,000 last week. First-time jobless claims have held below the 300,000-level for 20 consecutive weeks, which is usually associated with a firming labor market. Gold has been under heavy selling pressure in recent months amid speculation the Fed will raise interest rates for the first time in eight years as soon as September. Gold, which yields nothing and costs money to hold, is seen as a less attractive investment during times of rising interest rates. Also on the Comex, silver futures for September delivery inched up 2.8 cents, or 0.19%, to trade at $14.75 a troy ounce, while copper for September delivery shed 0.3 cents, or 0.13%, to trade at $2.425 a pound. ","2015-07-23T18:27:00+05:30","2015-07-23T18:27:00+05:30",""
"Tata Chemicals Standalone March 2023 Net Sales at Rs 1,302.00 crore, up 16.81% Y-o-Y","","","https://www.moneycontrol.com/news/business/earnings/tata-chemicals-standalone-march-2023-net-sales-at-rs-1302-00-crore-up-16-81-y-o-y-10524741.html","","2023-05-04T10:00:02+05:30","2023-05-04T10:19:31+05:30",""
"ACC Q2 profit seen down 11%, volumes may decline: Poll","","","https://www.moneycontrol.com/news/business/earnings/acc-q2-profit-seen-down-11-volumes-may-decline-poll-1515313.html","Cement major is expected to degrow in the quarter ended June. Profit is likely to fall 11 percent year-on-year to Rs 217 crore and total income may drop 2 percent to Rs 3,012 crore, according to a CNBC-TV18 poll. The company follows January-December as its financial year. Analysts expect cement volumes to decline in April-June quarter (following weakness in past two consecutive quarters) due to poor sales seen in Southern and Northern markets. The topline of ACC, which has pan India presence, may be dragged by lower volumes but realisations and RMC may support. Analysts see poor realisations in northern and western regions. Southern presence may help realisations as cement prices jumped 15 percent Y-o-Y. Ready mix concrete (RMC) business may support topline. RMC business clocked revenue of Rs 439 crore in Q1CY15 and Rs 305 crore in Q2CY14. During the quarter, operating profit is seen declining 16 percent to Rs 378 crore and margin may fall 230 basis points to 12.5 percent compared to corresponding quarter of last fiscal. The hit in margin may be due to weak pricing environment in the country besides South India. Most of its coal received from Coal India, so there is no benefit of lower international coal pices. Higher railway freight cost may also impact margin. Key issues to watch out for would be cement pricing recovery, volume growth & demand revival, update on Jamul expansion & cost saving measures, and clarity on sustained resumption of operations at plants in the east.","2015-07-16T17:37:27+05:30","2015-07-17T15:55:23+05:30",""
"Hope SC lifts stay on GM mustard seed release: SEA","","","https://www.moneycontrol.com/news/business/economy/hope-sc-lifts-stay-on-gm-mustard-seed-release-sea-2277685.html","Edible oil industry body SEA today hailed the expert panel GEAC for clearing a genetically modified (GM) mustard seed variety for commercial cultivation and hoped the Supreme Court will lift the stay on its release. Yesterday, the Genetic Engineering Appraisal Committee (GEAC) recommended the commercial release of a high-yielding GM mustard variety, DMH-11, developed by Delhi University scientists. A final approval is awaited from the Environment Ministry for its release. Welcoming GEAC's move, Mumbai-based Solvent Extractors' Association of India (SEA) Executive Director B V Mehta said: ""In light of GEAC clearance for cultivation, India is one step away from commercial production of its first GM food crop and hopefully with all scientific evidence before it, the Supreme Court will lift the stay and pave way for commercial cultivation."" The GEAC has taken a ""bold decision"" which will go a long way to increase the production and productivity of mustard seed in India, he said in a statement. At present, mustard seed output is around 7 million tonnes. However, the SEA has taken a resolution to work actively to raise the output to 15 million tonnes by 2025.","2017-05-12T14:07:11+05:30","2017-05-12T14:19:38+05:30",""
"Government to exempt EVs, alternative fuel-powered vehicles from permit requirements: Nitin Gadkari","PTI","","https://www.moneycontrol.com/news/business/economy/government-to-exempt-evs-alternative-fuel-powered-vehicles-from-permit-requirements-nitin-gadkari-2924981.html","The government has decided to exempt electric vehicles (EVs) and automobiles run on alternative fuel from permit requirements in a bid to boost such vehicles in the country, Union Minister Nitin Gadkari said Thursday. Urging automakers to focus in this direction, the minister said demand for EVs could also be created by mandating cab aggregators like Ola and Uber to induct a certain percentage of such vehicles in their fleet. ""We have decided to exempt EVs and all vehicles including autorickshaws, buses, taxis run on alternative fuel like ethanol, biodiesel, CNG, methanol and biofuel, from permit requirements. ""We have taken the decision to make these permit-free,"" the transport minister said addressing the SIAM annual convention here. He said the states have agreed to abide by it as the recommendations came from a Group of Ministers of states, headed by Rajasthan Transport Minister Yunus Khan. Urging automakers to come forward to tap the opportunity of EV production, Gadkari ruled out any financial incentive. ""With GST at 12 per cent on EVs, I don't think there is any further need for subsidy. We need to think innovatively to bring in that environment. My ministry has prepared a detailed report to raise production of EVs through non-fiscal initiatives in the next five years,"" Gadkari said clarifying that the subsidy was not mandatory. His statement comes amid government's efforts to promote eco-friendly vehicles through Faster Adoption and Manufacturing of (Hybrid &) Electric Vehicles (FAME) India scheme, which was launched in 2015. The second phase of FAME India scheme will be launched by Prime Minister Narendra Modi on September 7. According to official sources, FAME II offers incentives for mass adoption of EVs with an outlay of Rs 5,500 crore. Gadkari also said the ministry has done away with the requirement of local testing for initially bringing EVs into India for sale. ""This will be available for limited number of pieces in the domestic market and if the customers' response is positive then these companies can start making the vehicles in India,"" he said. The minister also suggested automakers to diversify into water transport. ""Why don't you diversify. From Allahabad to Varanasi we are maintaining a draft of 1.5 metre. Fifteen crore people will be gathering at Kumbha mela. You come and run 500-600 seater catamarans. I will give you all permissions in eight days,"" the minister said. He said the multimodal hub at Varanasi will be inaugurated soon and 60 river ports offered vast opportunities to automobile makers. Gadkari also announced that steps will be taken to do away with the requirement of speed governors saying that better highways were there and speed was not the only reason behind accidents. He also announced that the government will soon ensure two-wheeler taxis everywhere barring metro cities for single passengers, which in turn would generate employment. On biofuel, Gadkari said its production can cut on huge Rs 30,000 crore aviation fuel imports. Indigenous production of biofuel is not only import substitute but is cost-effective and checks pollution, he added.","2018-09-06T16:48:05+05:30","2018-09-06T16:51:29+05:30",""
"Bharat Forge arm forms JV with Rafael Advanced Defense Systems","","","https://www.moneycontrol.com/news/business/companies/bharat-forge-arm-forms-jvrafael-advanced-defense-systems-1042284.html","Auto component major arm Kalyani Strategic Systems on Tuesday entered into a joint venture (JV) partnership with Israel's Rafael Advanced Defense Systems to bid for defence programmes in India, including infantry combat vehicle BMP II upgrade. The JV company, Kalyani Rafael Advanced Systems Pvt Ltd, will look to address programmes in relation to BMP II upgrade, tactical control systems, other advanced systems and other such programmes floated or to be floated by the Ministry of Defence, Bharat Forge said in a BSE filing. The company, however, did not share details of the JV such as stake holding between the partners. Bharat Forge has been a key supplier of components to the Indian defence establishment for over 30 years. It has stated that it would focus on capturing opportunity arising out of Make in India initiative of the government through supply of critical components in both defense and aerospace sector. Rafael develops and manufactures advanced defense systems for the Israeli defense forces and the defense establishment, as well as for foreign customers around the world. It is among the top defence firms in Israel.","2016-02-09T19:22:32+05:30","2016-02-09T19:22:32+05:30",""
"JSW Energy shares rise as Jefferies maintains buy; sees 39% upside","Moneycontrol News","JSW Energy share price: Jefferies also highlighted the company's robust growth outlook, projecting a 58 percent EBITDA CAGR between FY25 and FY27 and a 2.1x jump in EBITDA by FY26 as key catalysts","https://www.moneycontrol.com/news/business/markets/jsw-energy-shares-rise-as-jefferies-maintains-buy-sees-39-upside-13173798.html","Shares of gained over a percent to Rs 513 in morning trade on June 25 after Jefferies maintained its buy rating on the counter, citing strong levers for growth in the coming quarters. With a target price of Rs 700 per share, the international brokerage anticipates an upside potential of 39 percent from the last closing price of Rs 505 on the NSE. The brokerage believes the company's ‘Strategy 3.0’ will fuel a fourfold jump in reported EBITDA between FY25 and FY30. Excluding its investment in JSW Steel, the company reported a return on equity (RoE) of 11 percent in FY25, compared to the headline figure of 8 percent. Jefferies also flagged the company’s 58 percent EBITDA CAGR between FY25 and FY27 and an expected 2.1x jump in FY26 EBITDA as critical triggers for the stock. Last week,  NCLAT overturned an earlier NCLT order, allowing lenders of Raigarh Champa Rail Infrastructure Pvt Ltd (RCRIPL) to invite fresh bids—a move that cleared the way for JSW Energy to enter the fray. The company had sought to participate in RCRIPL's insolvency process after acquiring KSK Mahanadi Power, its parent firm, for Rs 16,084 crore in March. Backing the lenders’ decision, the tribunal said reissuing Form G to call for fresh bids would boost competition and likely attract better offers. JSW Energy shares are down 22 percent since the beginning of the year.","2025-06-25T09:42:12+05:30","2025-06-25T09:42:24+05:30",""
"SAB Events Standalone March 2021 Net Sales at Rs 0.28 crore, down 39.57% Y-o-Y","","","https://www.moneycontrol.com/news/business/earnings/sab-events-standalone-march-2021-net-sales-at-rs-0-28-crore-down-39-57-y-o-y-6981131.html","","2021-06-03T09:00:45+05:30","2021-06-03T09:04:49+05:30",""
"PM hints at more action to unearth black money","","","https://www.moneycontrol.com/news/business/economy/pm-hints-at-more-action-to-unearth-black-money-930725.html","Hinting at more action to unearth black money, Prime Minister Narendra Modi On Saturday said those holding unaccounted money will not be spared and there is no ""guarantee"" that no further steps would be taken after December 30 till when people can deposit the demonetised notes. He assured honest people that they will not face any trouble. ""I would like to announce once again that after the end of this scheme, there is no guarantee that something new will not be introduced to punish you (thikane lagane ke liye),"" Modi said. He was addressing the Indian community at a reception here. ""I make it very clear that if anything unaccounted comes up, then I will check its records since Independence. Will deploy as many people as required for this. Honest people will not face any problem. No one will be spared. Those who know me, they are intelligent as well. They think it is better to offer it in Ganga than in banks,"" Modi said. He was referring to reports of the demonetised Rs 500 and Rs 1,000 notes flowing in Ganga river. Modi termed the demonetisation as ""Swachhata Abhiyan"" and hailed the undaunting spirit of people despite their hardship following its announcement on November 8. ""I salute my countrymen. People stood in line for four hours, six hours but accepted the decision in national interest the way people of Japan tackled the aftermath of the 2011 disaster,"" he said. ""I thought long and hard about the possible difficulties and it was also important to keep it a secret. It had to be done suddenly but I never thought I will receive blessings for this,"" he said.","2016-11-12T14:38:03+05:30","2016-11-13T10:47:50+05:30",""
"Solar Ind Standalone December 2021 Net Sales at Rs 643.83 crore, up 65.33% Y-o-Y","","","https://www.moneycontrol.com/news/business/earnings/solar-ind-standalone-december-2021-net-sales-at-rs-643-83-crore-up-65-33-y-o-y-4-8024221.html","","2022-02-02T09:11:38+05:30","2022-02-02T09:20:34+05:30",""
